0111,"BdComm Mbr, Grp2,M=$25/Mtg"
0112,"BdComm Mbr, Grp3,M=$50/Mtg"
0114,"BdComm Mbr, Grp5,M$100/Mo"
0115,"BdComm MbrGrp6,D=@$100/Halfday"
0116,"Brd Comm Mbr, M=$200/Mtg"
0118,"BdComm Mbr, Grp7,M=$500/Month"
0130,Superintendent of Schools
0140,"Chief, Fire Department"
0150,Dep Chf of Dept (Fire Dept)
0170,Assistant Law Librarian
0180,Law Librarian
0190,Bookbinder
0382,Inspector 3
0390,Chief of Police
0395,Assistant Chief of Police
0402,Deputy Chief 3
0490,Commander 3
0720,"Member, Board of Supervisors"
0882,Mayoral Staff II
0884,Mayoral Staff IV
0885,Mayoral Staff V
0886,Mayoral Staff VI
0887,Mayoral Staff VII
0889,Mayoral Staff IX
0890,Mayoral Staff X
0891,Mayoral Staff XI
0892,Mayoral Staff XII
0901,Mayoral Staff XIII
0902,Mayoral Staff XIV
0903,Mayoral Staff XV
0904,Mayoral Staff XVI
0905,Mayoral Staff XVII
0922,Manager I
0923,Manager II
0931,Manager III
0932,Manager IV
0933,Manager V
0941,Manager VI
0942,Manager VII
0943,Manager VIII
0951,Dep Dir I
0952,Dep Dir II
0953,Dep Dir III
0954,Dep Dir IV
0955,Dep Dir V
0961,Dept Head I
0962,Dept Head II
0963,Dept Head III
0964,Dept Head IV
0965,Dept Head V
1002,IS Operator-Journey
1003,IS Operator-Senior
1004,IS Operator-Analyst
1011,IS Technician Assistant
1012,IS Technical-Journey
1013,IS Technician-Senior
1014,IS Technician-Supervisor
1021,IS Administrator 1
1022,IS Administrator 2
1023,IS Administrator 3
1024,IS Administrator-Supervisor
1031,IS Trainer-Assistant
1032,IS Trainer-Journey
1033,IS Trainer-Senior
1041,IS Engineer-Assistant
1042,IS Engineer-Journey
1043,IS Engineer-Senior
1044,IS Engineer-Principal
1051,IS Business Analyst-Assistant
1052,IS Business Analyst
1053,IS Business Analyst-Senior
1054,IS Business Analyst-Principal
1061,IS Program Analyst-Assistant
1062,IS Programmer Analyst
1063,IS Programmer Analyst-Senior
1064,IS Prg Analyst-Principal
1070,IS Project Director
1071,IS Manager
1117,"Dep Dir for Investments, Ret"
1130,Youth Comm Advisor
1161,"Ex Asst to Admin, SFGH"
1164,"Adm, SFGH Medical Center"
1190,Mayor
1202,Personnel Clerk
1203,Personnel Technician
1204,Senior Personnel Clerk
1209,Benefits Technician
1210,Benefits Analyst
1218,Payroll Supervisor
1220,Payroll Clerk
1222,Sr Payroll & Personnel Clerk
1224,Pr Payroll & Personnel Clerk
1226,Chf Payroll & Personnel Clerk
1227,Testing Technician
1231,"Assistant Manager, EEO"
1232,Training Officer
1233,EEO Programs Specialist
1237,Training Coordinator
1241,Personnel Analyst
1244,Senior Personnel Analyst
1246,Principal Personnel Analyst
1280,Employee Relations Representat
1281,Senior Emp Relations Repres
1282,"Manager,Employee Relations Div"
1283,Dir Emp Relations Div
1293,Human Resources Director
1310,Public Relations Assistant
1312,Public Information Officer
1314,Public Relations Officer
1324,Customer Service Agent
1326,Customer Service Agent Supv
1360,Special Assistant 1
1362,Special Assistant 3
1365,Special Assistant 6
1367,Special Assistant 8
1371,Special Assistant 12
1402,Junior Clerk
1403,Elections Clerk
1404,Clerk
1406,Senior Clerk
1408,Principal Clerk
1410,Chief Clerk
1422,Junior Clerk Typist
1424,Clerk Typist
1426,Senior Clerk Typist
1428,Unit Clerk
1429,Nurses Staffing Assistant
1430,Transcriber Typist
1431,Senior Unit Clerk
1432,Senior Transcriber Typist
1434,Shelter Service Representative
1435,Shelter Officer Supervisor
1436,Braillist
1437,Shelter Office Asst Supv
1440,Medical Transcriber Typist
1441,Sr Medical Transcriber Typist
1444,Secretary 1
1446,Secretary 2
1450,Executive Secretary 1
1452,Executive Secretary 2
1454,Executive Secretary 3
1458,Legal Secretary 1
1460,Legal Secretary 2
1466,Meter Reader
1468,Water Services Clerk
1471,Elections Worker
1474,Claims Process Clerk
1478,Senior Water Services Clerk
1480,Principal Water Services Clerk
1492,"Asst Clk, Board of Supervisors"
1512,Cfdntal Sctry&Ex Asst PublDfdr
1518,Confidential Sctry to Assessor
1520,Cfdntal Sctry to Distric Atty
1522,Cfdntal Sctry to City Atty
1543,"Secretary, Comm on the Environ"
1544,"Secretary, Library Commission"
1548,"Sctry, Human Svcs. Commission"
1549,"Sctry, Juv Probation Comm"
1551,"Secretary, Health Commission"
1555,"Sctry, Bldg Inspection Comm"
1574,Ex Asst to the Controller
1630,Account Clerk
1632,Senior Account Clerk
1634,Principal Account Clerk
1635,Health Care Billing Clerk 1
1636,Health Care Billing Clerk 2
1637,Patient Accounts Clerk
1649,Accountant Intern
1650,Accountant I
1652,Accountant II
1654,Accountant III
1657,Accountant IV
1662,Patient Accounts Asst Sprv
2588,Health Worker 4
1663,Patient Accounts Supervisor
1664,Patient Accounts Manager
1670,Financial Systems Supervisor
1684,Auditor II
1686,Auditor III
1704,Communications Dispatcher 1
1705,Communications Dispatcher 2
1706,Telephone Operator
1708,Senior Telephone Operator
1721,Senior Data Entry Operator
1750,Microphoto/Imaging Technician
1752,Sr. Microphoto/Imaging Tech.
1760,Offset Machine Operator
1762,Senior Offset Machine Operator
1764,Mail & Reproduction Svc Sprv
1766,Media Production Tech
1767,Media Programming Spec
1769,Media Production Supv
1770,Photographer
1771,Media Production Specialist
1773,Media Training Specialist
1774,Head Photographer
1777,Media/Security Sys Spec
1781,Media/Security Syst Supv
1802,Research Assistant
1803,Performance Analyst I
1804,Statistician
1805,Performance Analyst II
1806,Senior Statistician
1812,Assistant Retirement Analyst
1813,Senior Benefits Analyst
1814,Benefits Supervisor
1820,Junior Administrative Analyst
1822,Administrative Analyst
1823,Senior Administrative Analyst
